date,equity,daily_return,position
1990-01-02,1.0,,0.0
1990-01-03,1.0,0.0,0.0
1990-01-04,1.0,0.0,0.0
1990-01-05,1.0,0.0,0.0
1990-01-08,1.0,0.0,0.0
1990-01-09,1.0,0.0,0.0
1990-01-10,1.0,0.0,0.0
1990-01-11,1.0,0.0,0.0
1990-01-12,1.0,0.0,0.0
1990-01-15,1.0,0.0,0.0
1990-01-16,1.0,0.0,0.0
1990-01-17,1.0,0.0,0.0
1990-01-18,1.0,0.0,0.0
1990-01-19,1.0,0.0,0.0
1990-01-22,1.0,0.0,0.0
1990-01-23,1.0,0.0,0.0
1990-01-24,1.0,0.0,0.0
1990-01-25,1.0,0.0,0.0
1990-01-26,1.0,0.0,0.0
1990-01-29,1.0,0.0,0.0
1990-01-30,1.0,0.0,0.0
1990-01-31,1.0,0.0,0.0
1990-02-01,1.0,0.0,0.0
1990-02-02,1.0,0.0,0.0
1990-02-05,1.0,0.0,0.0
1990-02-06,1.0,0.0,0.0
1990-02-07,1.0,0.0,0.0
1990-02-08,1.0,0.0,0.0
1990-02-09,1.0,0.0,0.0
1990-02-12,1.0,0.0,0.0
1990-02-13,1.0,0.0,0.0
1990-02-14,1.0,0.0,0.0
1990-02-15,1.0,0.0,0.0
1990-02-16,1.0,0.0,0.0
1990-02-20,1.0,0.0,0.0
1990-02-21,1.0,0.0,0.0
1990-02-22,1.0,0.0,0.0
1990-02-23,1.0,0.0,0.0
1990-02-26,1.0,0.0,0.0
1990-02-27,1.0,0.0,0.0
1990-02-28,1.0,0.0,0.0
1990-03-01,1.0,0.0,0.0
1990-03-02,1.0,0.0,0.0
1990-03-05,1.0,0.0,0.0
1990-03-06,1.0,0.0,0.0
1990-03-07,1.0,0.0,0.0
1990-03-08,1.0,0.0,0.0
1990-03-09,1.0,0.0,0.0
1990-03-12,1.0,0.0,0.0
1990-03-13,1.0,0.0,0.0
1990-03-14,1.0,0.0,0.0
1990-03-15,1.0,0.0,0.0
1990-03-16,1.0,0.0,0.0
1990-03-19,1.0,0.0,0.0
1990-03-20,1.0,0.0,0.0
1990-03-21,1.0,0.0,0.0
1990-03-22,1.0,0.0,0.0
1990-03-23,1.0,0.0,0.0
1990-03-26,1.0,0.0,0.0
1990-03-27,1.0,0.0,0.0
1990-03-28,1.0,0.0,0.0
1990-03-29,1.0,0.0,0.0
1990-03-30,1.0,0.0,0.0
1990-04-02,1.0,0.0,0.0
1990-04-03,1.0,0.0,0.0
1990-04-04,1.0,0.0,0.0
1990-04-05,1.0,0.0,0.0
1990-04-06,1.0,0.0,0.0
1990-04-09,1.0,0.0,0.0
1990-04-10,1.0,0.0,0.0
1990-04-11,1.0,0.0,0.0
1990-04-12,1.0,0.0,0.0
1990-04-16,1.0,0.0,0.0
1990-04-17,1.0,0.0,0.0
1990-04-18,1.0,0.0,0.0
1990-04-19,1.0,0.0,0.0
1990-04-20,1.0,0.0,0.0
1990-04-23,1.0,0.0,0.0
1990-04-24,1.0,0.0,0.0
1990-04-25,1.0,0.0,0.0
1990-04-26,1.0,0.0,0.0
1990-04-27,1.0,0.0,0.0
1990-04-30,1.0,0.0,0.0
1990-05-01,1.0,0.0,0.0
1990-05-02,1.0,0.0,0.0
1990-05-03,1.0,0.0,0.0
1990-05-04,1.0,0.0,0.0
1990-05-07,1.0,0.0,0.0
1990-05-08,1.0,0.0,0.0
1990-05-09,1.0,0.0,0.0
1990-05-10,1.0,0.0,0.0
1990-05-11,1.0,0.0,0.0
1990-05-14,1.0,0.0,0.0
1990-05-15,1.0,0.0,0.0
1990-05-16,1.0,0.0,0.0
1990-05-17,1.0,0.0,0.0
1990-05-18,1.0,0.0,0.0
1990-05-21,1.0,0.0,0.0
1990-05-22,1.0,0.0,0.0
1990-05-23,1.0,0.0,0.0
1990-05-24,1.0,0.0,0.0
1990-05-25,1.0,0.0,0.0
1990-05-29,1.0,0.0,0.0
1990-05-30,1.0,0.0,0.0
1990-05-31,1.0,0.0,0.0
1990-06-01,1.0,0.0,0.0
1990-06-04,1.0,0.0,0.0
1990-06-05,1.0,0.0,0.0
1990-06-06,1.0,0.0,0.0
1990-06-07,1.0,0.0,0.0
1990-06-08,1.0,0.0,0.0
1990-06-11,1.0,0.0,0.0
1990-06-12,1.0,0.0,0.0
1990-06-13,1.0,0.0,0.0
1990-06-14,1.0,0.0,0.0
1990-06-15,1.0,0.0,0.0
1990-06-18,1.0,0.0,0.0
1990-06-19,1.0,0.0,0.0
1990-06-20,1.0,0.0,0.0
1990-06-21,1.0,0.0,0.0
1990-06-22,1.0,0.0,0.0
1990-06-25,1.0,0.0,0.0
1990-06-26,1.0,0.0,0.0
1990-06-27,1.0,0.0,0.0
1990-06-28,1.0,0.0,0.0
1990-06-29,1.0,0.0,0.0
1990-07-02,1.0,0.0,0.0
1990-07-03,1.0,0.0,0.0
1990-07-05,1.0,0.0,0.0
1990-07-06,1.0,0.0,0.0
1990-07-09,1.0,0.0,0.0
1990-07-10,1.0,0.0,0.0
1990-07-11,1.0,0.0,0.0
1990-07-12,1.0,0.0,0.0
1990-07-13,1.0,0.0,0.0
1990-07-16,1.0,0.0,0.0
1990-07-17,1.0,0.0,0.0
1990-07-18,1.0,0.0,0.0
1990-07-19,1.0,0.0,0.0
1990-07-20,1.0,0.0,0.0
1990-07-23,1.0,0.0,0.0
1990-07-24,1.0,0.0,0.0
1990-07-25,1.0,0.0,0.0
1990-07-26,1.0,0.0,0.0
1990-07-27,1.0,0.0,0.0
1990-07-30,1.0,0.0,0.0
1990-07-31,1.0,0.0,0.0
1990-08-01,1.0,0.0,0.0
1990-08-02,1.0,0.0,0.0
1990-08-03,1.0,0.0,0.0
1990-08-06,1.0,0.0,0.0
1990-08-07,1.0,0.0,0.0
1990-08-08,1.0,0.0,0.0
1990-08-09,1.0,0.0,0.0
1990-08-10,1.0,0.0,0.0
1990-08-13,1.0,0.0,0.0
1990-08-14,1.0,0.0,0.0
1990-08-15,1.0,0.0,0.0
1990-08-16,1.0,0.0,0.0
1990-08-17,1.0,0.0,0.0
1990-08-20,1.0,0.0,0.0
1990-08-21,1.0,0.0,0.0
1990-08-22,1.0,0.0,0.0
1990-08-23,1.0,0.0,0.0
1990-08-24,1.0,0.0,0.0
1990-08-27,1.0,0.0,0.0
1990-08-28,1.0,0.0,0.0
1990-08-29,1.0,0.0,0.0
1990-08-30,1.0,0.0,0.0
1990-08-31,1.0,0.0,0.0
1990-09-04,1.0,0.0,0.0
1990-09-05,1.0,0.0,0.0
1990-09-06,1.0,0.0,0.0
1990-09-07,1.0,0.0,0.0
1990-09-10,1.0,0.0,0.0
1990-09-11,1.0,0.0,0.0
1990-09-12,1.0,0.0,0.0
1990-09-13,1.0,0.0,0.0
1990-09-14,1.0,0.0,0.0
1990-09-17,1.0,0.0,0.0
1990-09-18,1.0,0.0,0.0
1990-09-19,1.0,0.0,0.0
1990-09-20,1.0,0.0,0.0
1990-09-21,1.0,0.0,0.0
1990-09-24,1.0,0.0,0.0
1990-09-25,1.0,0.0,0.0
1990-09-26,1.0,0.0,0.0
1990-09-27,1.0,0.0,0.0
1990-09-28,1.0,0.0,0.0
1990-10-01,1.0,0.0,0.0
1990-10-02,1.0,0.0,0.0
1990-10-03,1.0,0.0,0.0
1990-10-04,1.0,0.0,0.0
1990-10-05,1.0,0.0,0.0
1990-10-08,1.0,0.0,0.0
1990-10-09,1.0,0.0,0.0
1990-10-10,1.0,0.0,0.0
1990-10-11,1.0,0.0,0.0
1990-10-12,1.0,0.0,0.0
1990-10-15,1.0,0.0,0.0
1990-10-16,0.9873098076901007,-0.012690192309899317,0.0
1990-10-17,0.9847716170546168,-0.0025708147692994343,1.0
1990-10-18,0.9847716170546168,0.0,1.0
1990-10-19,1.0126904459324053,0.028350562094073828,1.0
1990-10-22,1.0076140012558117,-0.0050128296331656275,1.0
1990-10-23,0.984771617054617,-0.02266977649449664,1.0
1990-10-24,0.984771617054617,0.0,1.0
1990-10-25,0.9695428536754751,-0.015464259037735184,1.0
1990-10-26,0.9593902179447942,-0.010471569866347785,1.0
1990-10-29,0.9593902179447942,0.0,1.0
1990-10-30,0.9845709958656588,0.026246648600198208,0.0
1990-10-31,0.9870895769084469,0.002558049194384182,1.0
1990-11-01,1.00219791784829,0.015305947193933855,1.0
1990-11-02,0.9996795255245151,-0.0025128692436139355,1.0
1990-11-05,1.0005987758374324,0.0009195450036199038,1.0
1990-11-06,1.005703813861395,0.005101983079771388,1.0
1990-11-07,0.9852833472338564,-0.02030465266819892,1.0
1990-11-08,1.0057038138613947,0.020725476265145426,1.0
1990-11-09,1.0286765793287325,0.02284247623476121,1.0
1990-11-12,1.0261237143318938,-0.002481698376475716,1.0
1990-11-13,1.0210184246825806,-0.004975315917571499,1.0
1990-11-14,1.0261237143318938,0.005000193459682389,1.0
1990-11-15,1.0210184246825806,-0.004975315917571499,1.0
1990-11-16,1.0286765793287325,0.007500505829297399,1.0
1990-11-19,1.0337814286336817,0.004962540615321975,1.0
1990-11-20,1.0337814286336817,0.0,1.0
1990-11-21,1.0363341049115071,0.0024692611098646733,1.0
1990-11-23,1.0439921337449836,0.007389536634163418,1.0
1990-11-26,1.041439017122794,-0.0024455324323479077,1.0
1990-11-27,1.0286765793287322,-0.012254618450267873,1.0
1990-11-28,1.0286765793287322,0.0,1.0
1990-11-29,1.0261237143318935,-0.002481698376475716,1.0
1990-11-30,1.0337814286336815,0.007462759309460054,1.0
1990-12-03,1.036334104911507,0.0024692611098646733,1.0
1990-12-04,1.028676579328732,-0.007389051027543614,1.0
1990-12-05,1.0261237143318933,-0.002481698376475716,1.0
1990-12-06,1.0133614023505069,-0.012437400873924753,1.0
1990-12-07,1.0057038138613943,-0.007556621429778865,1.0
1990-12-10,1.0133614023505066,0.00761415874492033,1.0
1990-12-11,1.015913889909319,0.0025188324253240246,1.0
1990-12-12,1.0286765793287316,0.012562766929539393,1.0
1990-12-13,1.0312290668875441,0.002481331460348901,1.0
1990-12-14,1.0363341049115067,0.004950440389903443,1.0
1990-12-17,1.0414390171227936,0.004925932850316617,1.0
1990-12-18,1.0414390171227936,0.0,1.0
1990-12-19,1.0312290668875441,-0.009803694760214365,1.0
1990-12-20,1.0286765793287316,-0.0024751896942901697,1.0
1990-12-21,1.0363341049115067,0.007444055533734506,1.0
1990-12-24,1.046544306772107,0.009852229905598087,1.0
1990-12-26,1.056754508632707,0.009756110462338485,1.0
1990-12-27,1.046544306772107,-0.009661848402057527,1.0
1990-12-28,1.054202021073895,0.0073171429553775535,1.0
1990-12-31,1.056754508632707,0.0024212508682273093,1.0
1991-01-02,1.0363341049115067,-0.019323696804115387,1.0
1991-01-03,1.0414390171227934,0.004925932850316395,1.0
1991-01-04,1.0516494706087447,0.009804177986494134,1.0
1991-01-07,1.0388865924703186,-0.012136057208337991,1.0
1991-01-08,1.0363341049115062,-0.002456945327153459,1.0
1991-01-09,1.0184666919998198,-0.0172409774290041,1.0
1991-01-10,1.0286765793287316,0.01002476311607614,1.0
